xid,#,Companies,Company ID,Deal ID,Deal Date,Announced Date,Deal Size,Pre-money Valuation,Post Valuation,% Acquired,Price per Share,Debt Raised in Round,Raised to Date,Deal Class,Deal Type,Deal Size Status,Post Valuation Status,Investors,New Investors,Lead/Sole Investors,Employees,Revenue Growth since last debt deal,Revenue,EBITDA,Total Debt (from financials),Deal Synopsis,Financing Status Note,CEO (at time of deal),CEO PBId
248258,248009,CareRev,169706-17,180318-70T,01/10/2020 00:00,01/06/2003 00:00,6.3,,,,,,6.42,Venture Capital,Seed Round,Actual,,"{'327402-91': 'Coelius Capital', '40420-36': 'Y Combinator'}",Coelius Capital,{'40420-36': 'Y Combinator'},,,,,,The company raised $6.3 million of seed funding in a deal led by Y Combinator in October 2020. Coelius Capital and other undisclosed investors also participated in the round.,"Integrative Ventures sold a stake in the company to an undisclosed buyer on August 26, 2022. Previously, the company raised $50 million of Series B venture funding from CSC UpShot Ventures, Stonewater Ventures, Realm Capital Ventures, FourCities Capital, and other undisclosed investors on March 24, 2022, putting the company's pre-money valuation at $550 million.",{'154660-60P': 'William Patterson'},154660-60P
248326,248077,ReleaseHub,433413-10,161098-84T,01/10/2020 00:00,,2.7,5,7.7,0.3967,0.78,,2.85,Venture Capital,Seed Round,Actual,Actual,"{'57379-15': 'Caffeinated Capital', '52271-56': 'Liquid Capital', '465133-42': 'Rogue Capital Collective (Diane Henry)', '11295-73': 'Sequoia Capital (Bogomil Balkansky)', '40420-36': 'Y Combinator'}","Caffeinated Capital, Liquid Capital, Rogue Capital Collective, Sequoia Capital",{'11295-73': 'Sequoia Capital (Bogomil Balkansky)'},,,,,,"The company raised $2.7 million of seed funding in a deal led by Sequoia Capital in October 2020, putting the company's pre-money valuation at $5 million. Liquid Capital, Caffeinated Capital, Rogue Capital Collective, and Y Combinator also participated in the round.","An undisclosed investor sold it's stake in the company to Sax Capital on September 29, 2021. Previously, The company raised $20 million of Series A venture funding in a deal led by CRV on July 28, 2021, putting the company's pre-money valuation at $65 million. Sequoia Capital, Bow Capital, Artisanal Ventures, Hack VC, Rogue Capital and Y Combinator also participated in the round.",{'38143-27P': 'Robert McClung'},38143-27P
248352,248103,Zuddl,439506-64,175275-37T,01/10/2020 00:00,,2,,,,,,2.15,Venture Capital,Seed Round,Actual,,"{'266145-13': 'Avaana Capital', '84621-07': 'growX Ventures', '436796-47': 'Waveform Ventures', '40420-36': 'Y Combinator'}","Avaana Capital, growX Ventures, Waveform Ventures",,,,,,,"The company raised $2 million of seed funding from growX Ventures, Waveform Capital and Y Combinator in October 2020. Avaana Capital also participated in the round. The funds will be used to build a high-quality product for hybrid events and for expansion mainly of the business team.","The company raised $15.19 million of Series A venture funding in a deal led by Qualcomm Ventures and Alpha Wave Global on December 3, 2021. Smile Group, growX Ventures, Waveform Ventures and Jaipur Capital also participated in the round. The funds will be used to accelerate product development and scale globally, with a particular focus on the US market.",{'241937-83P': 'Bharath Varma'},241937-83P
248353,248104,Here (Communication Software),439507-45,158123-35T,01/10/2020 00:00,,2.9,,,,1.65,,3.15,Venture Capital,Seed Round,Actual,,"{'97704-82': 'Company Ventures', '11270-53': 'FirstMark Capital', '493248-97': 'Remarkable Ventures', '492678-91': 'Uncommon Projects', '40420-36': 'Y Combinator'}","Company Ventures, FirstMark Capital, Remarkable Ventures, Uncommon Projects",,,,,,,"The company raised $2.9 million of Series 1 seed funding from FirstMark Capital, Company Ventures and Uncommon Projects on October 1, 2020. Remarkable Ventures Fund and Y Combinator also participated in the round.","The company raised an undisclosed amount of venture funding from Remarkable Ventures on November 23, 2021.",{'241958-17P': 'Jesse Boyes'},241958-17P
248476,248227,GrubMarket,101368-90,157118-68T,05/10/2020 00:00,,90,,,,,,200.13,Venture Capital,Later Stage VC,Actual,,"{'56092-96': 'ACE & Company (Charles Lorenceau)', '10768-06': 'BlackRock (NYS: BLK)', '442980-28': 'Celtic House Asia Partners', '11142-19': 'Celtic House Venture Partners (Jay Chen)', '230991-31': 'CentreGold Capital', '154181-44': 'Debanjan Mukherjee (Debanjan Mukherjee)', '43125-94': 'Digital Garage (TKS: 4819)', '221501-17': 'G-Startup Worldwide', '11203-21': 'GGV Capital (Hans Tung)', '463379-59': 'INP Capital', '125195-05': 'Madison Bay Capital Partners', '343708-21': 'Marubeni Ventures', '223046-56': 'Mojo Partners', '60518-44': 'Moringa', '170092-27': 'Reimagined Ventures', '57349-27': 'Scrum Ventures', '53738-11': 'SharesPost', '226991-44': 'Sixty Degree Capital', '170394-04': 'The Strand Partners', '51001-66': 'Trinity Capital (NAS: TRIN)', '11336-32': 'WI Harper Group', '40420-36': 'Y Combinator'}","BlackRock, Celtic House Asia Partners, Celtic House Venture Partners, Debanjan Mukherjee, Digital Garage, G-Startup Worldwide, INP Capital, Madison Bay Capital Partners, Marubeni Ventures, Mojo Partners, Moringa, Reimagined Ventures, SharesPost, Sixty Degree Capital, The Strand Partners",,,2.3333,1000,,,"The company raised $90 million of Series D venture funding from Marubeni Ventures, INP Capital, Digital Garage and Madison Bay Capital Partners on October 5, 2020. The Strand Partners, ACE & Company, Scrum Ventures, GGV Capital, CentreGold Capital, Reimagined Ventures, Celtic House Venture Partners, SharesPost, Sixty Degree Capital, Celtic House Asia Partners, Y Combinator, Debanjan Mukherjee, Mojo Partners, Moringa, Trinity Capital, G-Startup Worldwide, and BlackRock also participated in the round. The funds will be used to accelerate nationwide expansion.","The company raised $120 million of Series F venture funding from Liberty Street Advisors, General Mills, and Gold Medal Ventures on November 28, 2022, putting the company's pre-money valuation at $2.08 billion. B. Riley Venture Capital and 9 other investors also participated in the round. The funds will be used to continue acquiring traditional, offline wholesalers and distributors.",{'91636-12P': 'Mike Xu'},91636-12P
248596,248347,Armory,178995-07,157549-78T,07/10/2020 00:00,,40,177,217,0.1843,0.44,,82.12,Venture Capital,Later Stage VC,Actual,Actual,"{'155248-48': 'B Capital Group (Rashmi Gopinath)', '42202-18': 'Bain Capital Ventures', '11261-89': 'Crosslink Capital (Phil Boyer)', '10331-11': 'Insight Partners (Lonne Jaffe)', '40784-32': 'Javelin Venture Partners (Noah Doyle)', '52826-14': 'Javlin Capital', '267468-40': 'Mango Capital (Venture Capital)', '491554-27': 'Page One Ventures', '54172-81': 'Plug and Play Tech Center', '435529-36': 'Uncorrelated Ventures', '40420-36': 'Y Combinator'}","B Capital Group, Javlin Capital, Page One Ventures, Plug and Play Tech Center, Uncorrelated Ventures",{'155248-48': 'B Capital Group (Rashmi Gopinath)'},75,,,,,"The company raised $40 million of Series C venture funding in a deal led by B Capital Group on October 7, 2020, putting the company's pre-money valuation at $177 million. Javlin Capital, Insight Partners, Uncorrelated Ventures, Page One Ventures, Javelin Venture Partners, Bain Capital Ventures, Crosslink Capital, Mango Capital, Plug and Play Tech Center, and Y Combinator also participated in the round. The funds will be used to accelerate R&D, customer support, sales, and marketing for the company's platform to make the software delivery, security, scalability, and reliability features more accessible to the Global 2000.","The company raised $40 million of Series C venture funding in a deal led by B Capital Group on October 7, 2020, putting the company's pre-money valuation at $177 million. Javlin Capital and 9 other investors also participated in the round. The funds will be used to accelerate R&D, customer support, sales, and marketing for the company's platform to make the software delivery, security, scalability, and reliability features more accessible to the Global 2000.",{'159702-94P': 'Daniel Rubén Odio'},159702-94P
248598,248349,Shogun,226920-07,157234-24T,07/10/2020 00:00,,35,127,155.25,0.1819,6.25,6.75,47.22,Venture Capital,Later Stage VC,Actual,Actual,"{'10139-41': 'Accel (Ethan Choi)', '442302-31': ""Alex O'Byrne (Alex O'Byrne)"", '442301-95': 'Brian Grady (Brian Grady)', '158529-25': 'Bryant Chou (Bryant Chou)', '119685-16': 'Chrys Bader-Wechseler (Chrys Bader-Wechseler)', '54886-96': 'FundersClub', '169752-97': 'Immad Akhund (Immad Akhund)', '54726-76': 'Initialized Capital Management', '442302-40': 'Mark Lavelle (Mark Lavelle)', '437172-13': 'Mark Lenhard (Mark Lenhard)', '109672-03': 'Max Mullen (Max Mullen)', '226139-77': 'Pioneer Fund', '469329-49': 'Ranidu Lankage (Ranidu Lankage)', '442301-68': 'Romain Lapeyre (Romain Lapeyre)', '10742-95': 'VMG Partners', '40420-36': 'Y Combinator'}","Accel, Alex O'Byrne, Brian Grady, Bryant Chou, Chrys Bader-Wechseler, FundersClub, Immad Akhund, Mark Lavelle, Mark Lenhard, Max Mullen, Ranidu Lankage, Romain Lapeyre",{'10139-41': 'Accel (Ethan Choi)'},,,,,,"The company raised $35 million of venture funding through a combination of debt and equity on October 7, 2020, putting the company's pre-money valuation at $127 million. $28.2 million of Series B funding was led by Accel with participation from Initialized Capital Management, Pioneer Fund, FundersClub, VMG Partners, Y Combinator, Bryant Chou, Mark Lenhard, Romain Lapeyre, Brian Grady, Alex O'Byrne, Mark Lavelle, Chrys Bader-Wechseler, Maxwell Mullen, Ranidu Lankage and Immad Akhund also participated in the round. $6.75 million of debt portion was provided by undisclosed lenders. The funds will be used to scale the platform and further develop existing products, in addition to building out sales and marketing, executive, and engineering teams.","The company raised $67.5 million of venture funding through the combination of debt and equity on June 30, 2021, putting the company's pre-money valuation at $530 million. $ 57.5 million of Series C was led by Insight Partners with participation from Initialized Capital Management and 12 other investors. $10 million of debt was provided by undisclosed lenders. The funds will be used to continue accelerating product development and to rapidly scale go-to-market efforts across sales and marketing to meet growing demand. Previously, the company raised $35 million of venture funding through a combination of debt and equity on October 7, 2020, putting the company's pre-money valuation at $127 million. $28.2 million of Series B funding was led by Accel with participation from Initialized Capital Management and 14 other investors also participated in the round. $6.75 million of debt portion was provided by undisclosed lenders. The funds will be used to scale the platform and further develop existing products, in addition to building out sales and marketing, executive, and engineering teams.",{'83912-14P': 'Finbarr Taylor'},83912-14P
248702,248453,Dapi,279989-56,133204-78T,08/10/2020 00:00,,4.2,,,,,,4.35,Venture Capital,Seed Round,Actual,,"{'59932-00': 'BECO Capital', '460082-44': 'Cadenza Capital', '232830-55': 'Class 5 Global', '122747-50': 'Endure Capital', '436568-23': 'K50 Ventures', '235297-99': 'Leonis Investissement', '491782-06': 'MSA Novo', '226139-77': 'Pioneer Fund', '54172-81': 'Plug and Play Tech Center', '460008-64': 'Venture Mena', '181056-43': 'VentureSouq', '40420-36': 'Y Combinator'}","BECO Capital, Cadenza Capital, Class 5 Global, Endure Capital, K50 Ventures, Leonis Investissement, MSA Novo, Pioneer Fund, Venture Mena, VentureSouq",,,,,,,"The company raised $4.2 million of seed funding from MSA Novo, Pioneer Fund and BECO Capital on October 8, 2020. Endure Capital, Class 5 Global, Venture Mena, K50 Ventures, VentureSouq, Cadenza Capital, Y Combinator, Plug and Play Tech Center and Leonis Investissement also participated in the round.","The company raised $3.4 million of seed funding from Reserve, GreenHouse Capital and UDHC on July 13, 2022. Cadenza Capital and 5 other also participated in the round.",{'211894-39P': 'Mohammed Aziz'},211894-39P
248824,248575,Razorpay,110393-29,140759-29T,11/10/2020 00:00,04/08/2020 00:00,100,908.24,998.24,0.0902,32.06,10,206.62,Venture Capital,Later Stage VC,Actual,Actual,"{'12421-90': 'GIC (Singapore)', '87534-82': 'Matrix Partners India', '167489-20': 'Peak XV Partners', '55346-14': 'Ribbit Capital', '42873-94': 'Tiger Global Management', '66331-09': 'Titan Capital', '40420-36': 'Y Combinator'}","GIC (Singapore), Titan Capital","{'12421-90': 'GIC (Singapore)', '167489-20': 'Peak XV Partners'}",,3.0069,113.06,,,"The company raised $100 million through a combination of debt and Series D venture funding in a deal led by Sequoia Capital India and GIC (Singapore) on October 11, 2020, putting the company's pre-money valuation at $908.24 million. 5 other investors also participated in the round. The funds will be used by the company to hire more people, while also targeting acquisitions and investments across the broader fintech domain.","The existing and former employees of the company sold a stake in the company to Lightspeed India Partners, Axevil Capital, and Moore Strategic Ventures for $75 million on May 9, 2022. Previously, the company raised $375 million of Series F venture funding through a combination of debt and equity in a deal led by TCV, Lone Pine Capital, and Alkeon Capital Management on December 20, 2021, putting the company's pre-money valuation at $7.13 billion. Tiger Global Management and 4 other investors also participated in the round. Out of the total amount $371 million was raised in the form of equity and $3 million was raised in the form of debt. The funds will be used towards full-stack financial solutions, scaling up the business banking suite and offering new banking solutions in 2022, and continue to focus on expanding the company's product offerings, also hiring over 600 people to fuel its growth in India and Southeast Asia. Prior to that, the company raised $165 million of Series E venture funding in a deal led by Sequoia Capital India and GIC on August 11, 2021, putting the company's pre-money valuation at $2.84 billion. Tiger Global Management and 5 other investors also participated in the round. The funds will be used to take its digital payments offering to South East Asia, make acquisitions, and build out its neo-banking platform, with plans to hire over 600 employees.",{'96229-90P': 'Harshil Mathur'},96229-90P
248867,248618,SnapDocs,63692-65,157469-14T,13/10/2020 00:00,25/09/2020 00:00,60,600,660,0.0909,18.36,,116.62,Venture Capital,Later Stage VC,Actual,Actual,"{'233421-13': 'Ben Smith (Ben Smith)', '442451-89': 'Coyne Lloyd (Coyne Lloyd)', '106247-89': 'David Eisenberg (David Eisenberg)', '327257-29': 'David Vivero (David Vivero)', '482634-37': 'DocuSign Ventures', '124929-64': 'F-Prime Capital (David Jegen)', '11315-62': 'Founders Fund', '50980-51': 'Freestyle Capital', '222821-02': 'Kyle Vogt (Kyle Vogt)', '268764-04': 'Lachy Groom (Lachy Groom)', '181009-27': 'Maverick Ventures', '11295-73': 'Sequoia Capital (Andrew Reed)', '40420-36': 'Y Combinator (Anu Hariharan)', '235263-16': 'Zigg Capital'}","Ben Smith, Coyne Lloyd, David Eisenberg, David Vivero, DocuSign Ventures, Kyle Vogt, Lachy Groom",{'40420-36': 'Y Combinator (Anu Hariharan)'},,,,,,"The company raised $60 million of Series C venture funding in a deal led by Y Combinator on October 13, 2020, putting the company's pre-money valuation at $600 million. DocuSign Ventures, Maverick Ventures, Zigg Capital, Freestyle Capital, Sequoia Capital, Founders Fund, F-Prime Capital, Kyle Vogt, Dave Eisenberg, David Vivero, Ben Smith, Coyne Lloyd, and Lachy Groom also participated in the round. The funding will be used to build on recent momentum, drive product innovation, and scale operations.","The company raised $150 million of Series D venture funding in a deal led by Tiger Global Management on December 1, 2021, putting the company's pre-money valuation at $1.35 billion. Sequoia Capital and 11 other investors also participated in the round. The funds will be used to continue to develop the platform and its business reach.",{'69095-98P': 'Aaron King'},69095-98P
249086,248837,Nabis,231006-70,157708-81T,15/10/2020 00:00,,5,,,,,,10.4,Venture Capital,Early Stage VC,Actual,,"{'267027-40': 'Artemis Growth Partners', '182465-02': 'BABEL Ventures', '343660-60': 'DuContra Ventures', '124929-82': 'Gaingels', '105885-46': 'Justin Kan (Justin Kan)', '149517-28': 'Liquid 2 Ventures', '461976-67': 'Northstar.VC', '106054-30': 'Paul Buchheit', '433149-40': 'Paul Yacoubian (Paul Yacoubian)', '110937-70': 'Soma Capital', '432683-02': 'Stanley Tang (Stanley Tang)', '40420-36': 'Y Combinator'}","Artemis Growth Partners, DuContra Ventures, Gaingels, Justin Kan, Northstar.VC, Paul Yacoubian",,,,,,,"The company raised $5 million of Series A venture funding from Liquid 2 Ventures, Soma Capital and BABEL Ventures on October 15, 2020. Gaingels Syndicate, Y Combinator, Paul Buchheit, Paul Yacoubian, Stanley Tang, Justin Kan, DuContra Ventures, Artemis Growth Partners, and Northstar.VC also participated in the round. The company intends to use the funding to grow and expand its offerings.","The company raised $23 million of Series B venture funding from Liquid 2 Ventures, FJ Labs, and Thirdbase Capital on June 18, 2021. FinSight Ventures, and 11 other investors also participated in the round. The funds will be used by the company to support the expansion of its online wholesaling business which already distributes more than $350 million worth of cannabis products per year.",{'159468-31P': 'Vincent Ning'},159468-31P
249254,249005,Faire,174742-39,158029-21T,19/10/2020 00:00,,169.8,2430.2,2600,0.0769,6.2,,435.31,Venture Capital,Later Stage VC,Actual,Actual,"{'231918-76': 'D1 Capital Partners', '56059-66': 'Dragoneer Investment Group (Christian Jensen)', '40773-97': 'DST Global', '52507-90': 'Forerunner Ventures (Kirsten Green)', '11315-62': 'Founders Fund (Keith Rabois)', '11227-60': 'Khosla Ventures', '11333-26': 'Lightspeed Venture Partners (Alexander Taussig)', '11258-83': 'Norwest Venture Partners', '11295-73': 'Sequoia Capital (Ravi Gupta)', '11316-34': 'Steamboat Ventures', '40420-36': 'Y Combinator'}","D1 Capital Partners, Dragoneer Investment Group, Norwest Venture Partners, Steamboat Ventures","{'56059-66': 'Dragoneer Investment Group (Christian Jensen)', '11295-73': 'Sequoia Capital (Ravi Gupta)'}",,,,,,"The company raised $169.8 million of Series E venture funding in a deal led by Dragoneer Investment Group and Sequoia Capital on October 19, 2020, putting the company's pre-money valuation at $2.43 billion. Norwest Venture Partners, Steamboat Ventures, and 8 other investors also participated in the round. The funds will be used to expand internationally to the United Kingdom next year and other European countries, expand the customer base, and hire more staff.","The company raised $560 million of Series G venture through a combination of debt and equity on May 10, 2022, putting the company's pre-money valuation at $12.25 billion. $340.21 million of Series G funding was led by Durable Capital Partners, Dragoneer Investment Group, and D1 Capital Partners with participation from Spur Capital Partners and 11 other investors. $219.79 million of debt was provided by undisclosed lenders. The funds will be used for global expansion, continued hiring, and product development including work on a product that aims to be an operating system for wholesale. Previously, the company raised $260 million of Series F venture funding in a deal led by Dragoneer Investment Group and Sequoia Capital on June 10, 2021, putting the company's pre-money valuation at $6.74 billion. Khosla Ventures and 9 other investors also participated in the round.",{'158545-54P': 'Matthew Rhodes'},158545-54P
249347,249098,Index (Business/Productivity Software),442742-68,157916-98T,20/10/2020 00:00,,2.6,,,,,,2.6,Venture Capital,Seed Round,Actual,,"{'431321-86': '515 Ventures (Frederic Kerrest)', '179440-93': 'Abstract Ventures', '105939-37': 'David Sacks (David Sacks)', '183174-31': 'Gradient Ventures', '491843-71': 'Roach Capital (Fahd Ananta)', '436060-54': 'Slack Fund', '110937-70': 'Soma Capital', '231033-52': 'Terrence Rohan (Terrence Rohan)', '40420-36': 'Y Combinator'}","515 Ventures, Abstract Ventures, David Sacks, Gradient Ventures, Roach Capital, Slack Fund, Soma Capital, Terrence Rohan, Y Combinator","{'179440-93': 'Abstract Ventures', '105939-37': 'David Sacks (David Sacks)'}",,,,,,"The company raised $2.6 million of seed funding in a deal led by Abstract Ventures and David Sacks on October 20, 2020. Gradient Ventures and other 6 investors also participated in the round. The funds will be used for product development and distribution.","The company raised $2.6 million of seed funding in a deal led by Abstract Ventures and David Sacks on October 20, 2020. Gradient Ventures and other 6 investors also participated in the round. The funds will be used for product development and distribution.",{'243848-62P': 'Eduardo Portet'},243848-62P
249404,249155,Vitable Health,435657-52,157963-51T,21/10/2020 00:00,,1.59,13,14.59,0.1092,0.92,,1.72,Venture Capital,Seed Round,Actual,Actual,"{'438450-85': 'Allison Pickens (Allison Pickens)', '442792-72': 'Andrew Ninh (Andrew Ninh)', '54858-70': 'Commerce Ventures', '442466-83': 'Coughdrop Capital (Stu Smith)', '268073-29': 'DNA Capital (Investor) (Parsha Mehta)', '10072-27': 'Fenwick & West', '442792-99': 'Hershel Mehta (Hershel Mehta)', '169752-97': 'Immad Akhund (Immad Akhund)', '222979-69': 'Manoj Prasad (Manoj Prasad)', '58877-38': 'MSA Capital', '40692-61': 'SoftBank Group (TKS: 9984)', '40420-36': 'Y Combinator'}","Allison Pickens, Andrew Ninh, Coughdrop Capital, DNA Capital (Investor), Fenwick & West, Hershel Mehta, Immad Akhund, Manoj Prasad, MSA Capital, SoftBank Group",{'40692-61': 'SoftBank Group (TKS: 9984)'},,,,,,"The company raised $1.59 million through a combination of Seed funding in a deal led by SoftBank Group on October 21, 2020, putting the company's pre-money valuation at $13 million. Commerce Ventures, Coughdrop Capital, MSA Capital, DNA Capital (Investor), Y Combinator, Andrew Ninh, Hershel Mehta, Immad Akhund, Allison Pickens, Manoj Prasad and Fenwick & West also participated in the round. The funding will be used to expand into South Jersey and Delaware.","The company raised $7.2 million of venture funding from First Round Capital, Reform Ventures, and SB Opportunity Fund on October 28, 2021, putting the company's pre-money valuation at $17 million. Coalition Operators and 6 other investors also participated in the round. The funds will be used to invest in product development and expand to more markets in the North East.",{'172179-55P': 'Joseph Kitonga'},172179-55P
249795,249546,Edlyft,433405-45,158319-82T,28/10/2020 00:00,,1.4,,,,,,1.55,Venture Capital,Seed Round,Actual,,"{'154862-38': 'Backstage Capital', '436838-05': 'Concrete Rose Capital', '113016-97': 'Emilie Choi (Emilie Choi)', '169936-66': 'Holly Liu (Holly Liu)', '233916-67': 'January Ventures', '106259-95': 'Jeffrey Weiner (Jeffrey Weiner)', '51639-67': 'Kapor Capital', '11228-50': 'Kleiner Perkins', '436881-16': 'Next Play Ventures', '443032-48': 'Nick Caldwell (Nick Caldwell)', '229908-61': 'Realist Ventures', '266070-70': 'Ryan Roslansky (Ryan Roslansky)', '327538-54': 'Twenty Seven Ventures', '490913-65': 'VEST (Social/Platform Software)', '187442-38': 'Village Global', '40420-36': 'Y Combinator'}","Backstage Capital, Concrete Rose Capital, Emilie Choi, Holly Liu, January Ventures, Jeffrey Weiner, Kapor Capital, Kleiner Perkins, Next Play Ventures, Nick Caldwell, Realist Ventures, Ryan Roslansky, Twenty Seven Ventures, VEST (Social/Platform Software), Village Global",,,,,,,"The company raised $1.4 million of seed funding from Backstage Capital, Kleiner Perkins and Village Global on October 28, 2020. Kapor Capital, Concrete Rose Capital, Next Play Ventures, January Ventures, Realist Ventures, Twenty Seven Ventures, Y Combinator, Jeff Weiner, Holly Liu, Nick Caldwell, Ryan Roslansky and Emilie Choi also participated in the round.","The company raised $1.4 million of seed funding from Backstage Capital, Kleiner Perkins and Village Global on October 28, 2020. Kapor Capital, and 12 other investors also participated in the round.",{'225741-52P': 'Erika Hairston'},225741-52P
249889,249640,Raycast,433413-01,158501-35T,29/10/2020 00:00,,2.7,,,,,,2.85,Venture Capital,Seed Round,Actual,,"{'10139-41': 'Accel (Andrei Brasoveanu)', '432967-42': 'Calvin French-Owen (Calvin French-Owen)', '234705-97': 'Chapter One (Jeffrey Morris)', '105899-14': 'Charlie Cheever (Charlie Cheever)', '432716-68': 'Manik Gupta (Manik Gupta)', '40420-36': 'Y Combinator'}","Accel, Calvin French-Owen, Chapter One, Charlie Cheever, Manik Gupta",{'10139-41': 'Accel (Andrei Brasoveanu)'},,,,,0,"The company raised $2.7 million of Seed funding in a deal led by Accel on October 29, 2020. Calvin French-Owen, Y Combinator, Chapter One Ventures, Charlie Cheever and Manik Gupta also participated in the round.","The company raised $15 million of Series A venture funding in a deal led by Coatue Management and Accel on November 30, 2021. Johnny Boufarhat, and 5 other investors also participated in the round. The funds will be used to scale the team, focus on building its community of developers and tools and accelerate growth on the platform.",{'225870-85P': 'Thomas Mann'},225870-85P
249891,249642,CoreCare,437096-71,157721-50T,29/10/2020 00:00,29/07/2020 00:00,3,,,,,,3.4,Venture Capital,Seed Round,Actual,,"{'233906-95': 'Amplifyher Ventures (Meghan Cross)', '439788-70': 'Bolur Holdings', '221481-46': 'Brandhaus Capital Partners', '438123-25': 'Cathexis Ventures', '155604-61': 'Edward Lando (Edward Lando)', '54886-96': 'FundersClub', '436007-53': 'Goat Capital', '268162-84': 'IAG Capital Partners', '468035-38': 'Iron Shore Investments (Michael Tibbetts)', '184921-84': 'Jon Oringer (Jon Oringer)', '149517-28': 'Liquid 2 Ventures', '432674-20': 'Maccabee Ventures', '468035-56': 'Michael Tibbetts', '437620-33': 'Primetime Partners', '336993-22': 'Twenty Two Ventures', '181056-43': 'VentureSouq', '40420-36': 'Y Combinator'}","Amplifyher Ventures, Bolur Holdings, Brandhaus Capital Partners, Cathexis Ventures, Edward Lando, FundersClub, Goat Capital, IAG Capital Partners, Iron Shore Investments, Jon Oringer, Liquid 2 Ventures, Maccabee Ventures, Michael Tibbetts, Primetime Partners, Twenty Two Ventures, VentureSouq",,,,,,,"The company raised $3 million of seed funding from Cathexis Ventures, FundersClub and Twenty Two Ventures on October 29, 2020. VentureSouq and 13 other investors also participated in the round. The funds will be used to expand the company's sales and marketing and product capabilities.","The company raised $3 million of seed funding from Cathexis Ventures, FundersClub and Twenty Two Ventures on October 29, 2020. VentureSouq and 12 other investors also participated in the round. The funds will be used to expand the company's sales and marketing and product capabilities. Previously, the company graduated from Y Combinator as a part of its Summer 2020 Cohort on August 24, 2020 and received $150,000 in funding. As a part of the transaction, the funding was initially raised in the form of SAFE notes and subsequently converted to equity. Earlier, the company raised an undisclosed amount of seed funding from Pareto Holdings on August 23, 2020.",{'235374-58P': 'Dennis Antonelos'},235374-58P
249896,249647,WareIQ,439511-77,158459-23T,29/10/2020 00:00,01/07/2020 00:00,1.65,,,,,,1.8,Venture Capital,Seed Round,Actual,,"{'442606-06': 'Emles Venture Partners', '63690-94': 'Flexport', '54886-96': 'FundersClub', '496166-59': 'Kube VC', '226139-77': 'Pioneer Fund', '223671-34': 'Ryan Petersen (Ryan Petersen)', '110937-70': 'Soma Capital', '40420-36': 'Y Combinator'}","Emles Venture Partners, Flexport, FundersClub, Kube VC, Pioneer Fund, Ryan Petersen, Soma Capital",,,,0.71,,,"The company raised $1.65 million of seed funding from Pioneer Fund, Emles Venture Partners, and Soma Capital on October 29, 2020. FundersClub, Kube VC, Y Combinator, Flexport, and Ryan Petersen also participated in the round. The funds will be used to expand the company's network to tier 2 and tier 3 cities and hire for a number of tech roles.",The company raised an undisclosed amount of venture funding from Pioneer Fund in April 2022. Rebel Fund also participated in this round.,{'242044-39P': 'Harsh Vaidya'},242044-39P
250081,249832,Atmo (Government),432994-15,133202-53T,01/11/2020 00:00,28/02/2020 00:00,2,,,,,,2.15,Venture Capital,Seed Round,Actual,,"{'489570-40': 'AIX Ventures', '340783-57': 'Climate Capital', '231024-70': 'Elysium Venture Capital (Nikolai Oreshkin)', '106067-89': 'Joshua Schachter', '432595-09': 'Luca Ventures', '55481-05': 'Pegasus Tech Ventures', '438080-68': 'Scribble Ventures', '56307-97': 'Signia Venture Partners (Linus Liang)', '110390-41': 'Sound Ventures', '54736-84': 'Starling Ventures', '501150-16': 'Stellar Ventures', '227386-36': 'T-Bird Capital', '40420-36': 'Y Combinator', '436740-85': 'Zentani Capital'}","AIX Ventures, Climate Capital, Elysium Venture Capital, Joshua Schachter, Luca Ventures, Pegasus Tech Ventures, Scribble Ventures, Signia Venture Partners, Sound Ventures, Starling Ventures, Stellar Ventures, T-Bird Capital, Zentani Capital",,,,,,,"The company raised $2 million of seed funding from Starling Ventures, Signia Venture Partners and Elysium Venture Capital on November 1, 2020. Pegasus Tech Ventures, T-Bird Capital, Climate Capital, Sound Ventures, Luca Ventures, Zentani Capital, AIX Ventures, Stellar Ventures, Scribble Ventures, Y Combinator and Joshua Schachter also participated in the round.","The company raised an undisclosed amount of venture funding from Tofino Capital, Stellar Ventures in approximately May 2023.",,
250089,249840,Statiq (Automotive),438306-76,164291-32T,01/11/2020 00:00,,1.8,,,,,,5.35,Venture Capital,Early Stage VC,Actual,,"{'340783-57': 'Climate Capital', '327160-45': 'Mission Gate', '466935-85': 'Pescadero Pacific Ventures', '181056-43': 'VentureSouq', '40420-36': 'Y Combinator'}","Climate Capital, Mission Gate, Pescadero Pacific Ventures, VentureSouq",,,135.9096,0.15,,,"The company raised $1.8 million of venture funding from Climate Capital, Mission Gate and VentureSouq in November 2020. Y Combinator and Pescadero Pacific Ventures also participated in the round.","The company raised $25.7 million of Series A venture funding in a deal led by Shell Ventures on June 9, 2022. Emles Venture Partners, Oyster Ventures, Realm Capital Ventures, and other undisclosed investors also participated in the round. The funds will be used to rapidly scale the company's business while continuing to invest further in technology, innovation and product development.",{'238718-35P': 'Akshit Bansal'},238718-35P
